"x1" "x2" "class"
"1" 25.39787696 22.68101339 1
"2" 20.91116191 14.02766269 1
"3" 17.54988778 21.55226746 1
"4" 20.86575912 17.82599905 1
"5" 18.12874228 17.69157414 1
"6" 24.45404099 19.60606049 1
"7" 22.99423856 20.000294 1
"8" 22.07967499 15.92499626 1
"9" 24.98850212 21.27251746 1
"10" 24.06982547 25.03300244 1
"11" 21.40674917 21.8035956 1
"12" 15.02370715 18.32455892 1
"13" 19.88561448 20.32624888 1
"14" 19.08171018 18.51818043 1
"15" 15.66489843 18.08497784 2
"16" 13.95024179 21.24628558 2
"17" 17.77543906 21.87435849 2
"18" 15.82644389 18.92675357 2
"19" 8.917451991 24.4341594 2
"20" 11.97020979 22.47832929 2
"21" 15.39914634 19.2598847 2
"22" 14.27258216 21.05907582 2
"23" 21.14725711 22.84794502 2
"24" 14.85945421 18.89797542 2
